Hotel_Name,Hotel_Rating,Room_type,Room_price,Room_sqft,Facilities,Location
The Taj Mahal Tower Mumbai,8.9,Superior Room City View King Bed,$368,280 feet²,"['Free parking', 'Swimming pool', 'Restaurant', 'Spa', 'Free WiFi', 'Fitness center', 'Airport shuttle', 'Family rooms', 'Room service', 'Non-smoking rooms']","Apollo Bunder, Colaba, 400001 Mumbai, India"
Novotel Mumbai Juhu Beach,6.7,Superior Twin Room with Ocean View,$785,312 feet²,"['View', 'Garden', 'Pet friendly', 'Swimming pool', 'Free WiFi', 'Free parking', 'Air conditioning', 'Private Bathroom', '24-hour front desk', 'Key card access']","Juhu Beach, Maharastra, Juhu, 400049 Mumbai, India"
Trident Nariman Point,8.8,Trident Preferred Room,$748,301 feet²,"['Free parking', 'Swimming pool', 'Restaurant', 'Spa', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Fitness center', 'Minibar', 'Flat-screen TV']","Nariman Point, 400021 Mumbai, India"
Novotel Mumbai International Airport,7.8,Standard King Room,$537,357 feet²,"['Swimming pool', 'Free WiFi', 'Free parking', 'Air conditioning', 'Private Bathroom', '24-hour front desk', 'Daily housekeeping', 'Non-smoking rooms', 'Baggage storage', 'Elevator']","CTS 1359 Marol Next to Airport Metro Station entrance no 3 Andheri Kurla Road, 400059 Mumbai, India"
OYO Flagship 80682 Hotel Golden Residency,,Classic Triple Room,$130,,"['Air conditioning', 'Private Bathroom', 'Free WiFi', 'Bathtub or shower', 'Room service', '24-hour front desk', 'Daily housekeeping', 'Baggage storage']","plot no 9 Lala Compound , near takshila police chowky, mahakali, Andheri (E), mumbai - 400093, Mumbai, 400093 Mumbai, India"
Hotel Ariana Residency,7.2,Deluxe Double Room,$294,200 feet²,"['Restaurant', 'Air conditioning', 'Private Bathroom', 'View', 'Shower', 'Flat-screen TV', 'Airport shuttle', 'Family rooms', 'Room service', 'Non-smoking rooms']","Opposite Apna Bazar, Dhake Colony, J.P. Road, Azad Nagar, Andheri (West), Mumbai-400053, 400053 Mumbai, India"
Niranta Transit Hotel Terminal 2 Arrivals/Landside,7.7,Premium Queen Room,$261,377 feet²,[],"Terminal 2, Landside Terminal, CSI Airport, Sahar, 400099 Mumbai, India"
The Leela Mumbai,8.6,Premier City View Room with 1+1 Happy Hours from 7pm to 9pm at 6 degrees on selected brands,$596,273 feet²,"['Garden', 'Swimming pool', 'Free WiFi', 'Free parking', 'Bathtub', 'Key card access', 'Daily housekeeping', 'Non-smoking rooms', 'Safe', 'Baggage storage']","Sahar Road, 400059 Mumbai, India"
The Resort,7.7,Standard City View,$337,320 feet²,"['Free parking', 'Swimming pool', 'Restaurant', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'BBQ facilities', 'Fitness center', 'Minibar']","Aksa Beach, Madh Marve Road, Malad West, 400095 Mumbai, India"
Radisson Blu Mumbai International Airport,8.2,Executive Double or Twin Room,$772,345 feet²,"['Garden', 'Swimming pool', 'Free WiFi', 'Free parking', 'Bathtub', 'Air conditioning', '24-hour front desk', 'Key card access', 'Daily housekeeping', 'Non-smoking rooms']","Marol Maroshi Road, Near Marol Metro Station, Andheri East, Mumbai-400059, India, 400059 Mumbai, India"
